Species,Days,Control,Iguana,Tortoise
Acrocomia_crispa,1,0,0,0
Acrocomia_crispa,2,0,0,0
Acrocomia_crispa,3,0,0,0
Acrocomia_crispa,4,0,0,0
Acrocomia_crispa,5,0,0,0
Acrocomia_crispa,6,0,0,0
Acrocomia_crispa,7,0,0,0
Acrocomia_crispa,8,0,0,0
Acrocomia_crispa,9,0,0,0
Acrocomia_crispa,10,0,0,0
Acrocomia_crispa,11,0,0,0
Acrocomia_crispa,12,0,0,0
Acrocomia_crispa,13,0,0,0
Acrocomia_crispa,14,0,0,0
Acrocomia_crispa,15,0,0,0
Acrocomia_crispa,16,0,0,0
Acrocomia_crispa,17,0,0,0
Acrocomia_crispa,18,0,0,0
Acrocomia_crispa,19,0,0,0
Acrocomia_crispa,20,0,0,0
Acrocomia_crispa,21,0,0,0
Acrocomia_crispa,22,0,0,0
Acrocomia_crispa,23,0,0,0
Acrocomia_crispa,24,0,0,0
Acrocomia_crispa,25,0,0,0
Acrocomia_crispa,26,0,0,0
Acrocomia_crispa,27,0,0,0
Acrocomia_crispa,28,0,0,0
Acrocomia_crispa,29,0,0,0
Acrocomia_crispa,30,0,0,0
Acrocomia_crispa,31,0,0,0
Acrocomia_crispa,32,0,0,0
Acrocomia_crispa,33,0,0,0
Acrocomia_crispa,34,0,0,0
Acrocomia_crispa,35,0,0,0
Acrocomia_crispa,36,0,0,0
Acrocomia_crispa,37,0,0,0
Acrocomia_crispa,38,0,0,0
Acrocomia_crispa,39,0,0,0
Acrocomia_crispa,40,0,0,0
Acrocomia_crispa,41,0,0,0
Acrocomia_crispa,42,0,0,0
Acrocomia_crispa,43,0,0,0
Acrocomia_crispa,44,0,0,0
Acrocomia_crispa,45,0,0,0
Acrocomia_crispa,46,0,0,0
Acrocomia_crispa,47,0,0,0
Acrocomia_crispa,48,0,0,0
Acrocomia_crispa,49,0,0,0
Acrocomia_crispa,50,0,0,0
Acrocomia_crispa,51,0,0,0
Acrocomia_crispa,52,0,0,0
Acrocomia_crispa,53,0,0,0
Acrocomia_crispa,54,0,0,0
Acrocomia_crispa,55,0,0,0
Acrocomia_crispa,56,0,0,0
Acrocomia_crispa,57,7.14,0,0
Acrocomia_crispa,58,7.14,0,0
Acrocomia_crispa,59,7.14,0,0
Acrocomia_crispa,60,7.14,0,0
Acrocomia_crispa,61,7.14,0,0
Acrocomia_crispa,62,7.14,0,0
Acrocomia_crispa,63,7.14,0,0
Acrocomia_crispa,64,7.14,0,0
Acrocomia_crispa,65,7.14,0,0
Acrocomia_crispa,66,7.14,0,0
Acrocomia_crispa,67,7.14,0,0
Acrocomia_crispa,68,7.14,0,0
Acrocomia_crispa,69,7.14,0,0
Acrocomia_crispa,70,7.14,0,0
Acrocomia_crispa,71,7.14,0,0
Acrocomia_crispa,72,7.14,0,0
Acrocomia_crispa,73,7.14,0,0
Acrocomia_crispa,74,7.14,0,0
Acrocomia_crispa,75,7.14,0,0
Acrocomia_crispa,76,7.14,0,0
Acrocomia_crispa,77,7.14,0,0
Acrocomia_crispa,78,7.14,0,0
Acrocomia_crispa,79,7.14,0,0
Acrocomia_crispa,80,7.14,0,0
Acrocomia_crispa,81,7.14,0,0
Acrocomia_crispa,82,7.14,0,0
Acrocomia_crispa,83,7.14,0,0
Acrocomia_crispa,84,7.14,0,0
Acrocomia_crispa,85,7.14,0,0
Acrocomia_crispa,86,7.14,0,0
Acrocomia_crispa,87,7.14,0,0
Acrocomia_crispa,88,7.14,0,0
Acrocomia_crispa,89,7.14,0,0
Acrocomia_crispa,90,7.14,0,0
Acrocomia_crispa,91,7.14,0,0
Acrocomia_crispa,92,7.14,0,0
Acrocomia_crispa,93,7.14,0,0
Acrocomia_crispa,94,7.14,0,0
Acrocomia_crispa,95,7.14,0,0
Acrocomia_crispa,96,7.14,0,0
Acrocomia_crispa,97,7.14,0,0
Acrocomia_crispa,98,7.14,0,0
