Species,ID,Treatment,Sown,Germinated,Germ fate,Seed fate,status
Acrocomia crispa,1,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,2,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,3,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,4,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,5,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,6,Control,7/8/2021,,No,Dead,Dead
Acrocomia crispa,7,Control,7/8/2021,9/3/2021,Yes,Alive,Alive
Acrocomia crispa,8,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,9,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,10,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,11,Control,7/8/2021,,Yes,Alive,Alive
Acrocomia crispa,12,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,13,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,14,Control,7/8/2021,10/22/2021,Yes,Alive,Alive
Acrocomia crispa,15,Control,7/8/2021,,No,Alive,Alive
Acrocomia crispa,1,Iguana,7/8/2021,11/24/2021,Yes,Alive,Alive
Acrocomia crispa,2,Iguana,7/8/2021,,No,Alive,Alive
Acrocomia crispa,3,Iguana,7/8/2021,,No,Alive,Alive
Acrocomia crispa,4,Iguana,7/8/2021,,Yes,Alive,Alive
Acrocomia crispa,5,Iguana,7/8/2021,,No,Dead,Dead
Acrocomia crispa,6,Iguana,7/8/2021,,No,Alive,Alive
Acrocomia crispa,7,Iguana,7/8/2021,,No,Dead,Dead
Acrocomia crispa,8,Iguana,7/8/2021,,No,Alive,Alive
Acrocomia crispa,9,Iguana,7/8/2021,,No,Dead,Dead
Acrocomia crispa,10,Iguana,7/8/2021,12/13/2021,Yes,Alive,Alive
Acrocomia crispa,1,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,2,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,3,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,4,Tortoise,7/8/2021,,No,Dead,Dead
Acrocomia crispa,5,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,6,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,7,Tortoise,7/8/2021,,No,Dead,Dead
Acrocomia crispa,8,Tortoise,7/8/2021,,No,Dead,Dead
Acrocomia crispa,9,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,10,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,11,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,12,Tortoise,7/8/2021,,No,Alive,Alive
Acrocomia crispa,13,Tortoise,7/14/2021,,No,Alive,Alive
Acrocomia crispa,14,Tortoise,7/14/2021,,No,Dead,Dead
Acrocomia crispa,15,Tortoise,7/14/2021,,No,Alive,Alive
Acrocomia crispa,16,Tortoise,7/14/2021,,No,Alive,Alive
Acrocomia crispa,17,Tortoise,7/14/2021,,No,Dead,Dead
Acrocomia crispa,18,Tortoise,7/14/2021,,No,Dead,Dead
Acrocomia crispa,19,Tortoise,7/14/2021,,No,Dead,Dead
Acrocomia crispa,20,Tortoise,7/14/2021,,No,Dead,Dead
Acrocomia crispa,21,Tortoise,7/14/2021,,No,Alive,Alive
C. spinosa,1,Control,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,2,Control,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,3,Control,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,4,Control,9/17/2021,10/14/2021,Yes,Alive,Alive
C. spinosa,5,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,6,Control,9/17/2021,,No,Dead,Dead
C. spinosa,7,Control,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,8,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,9,Control,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,10,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,11,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,12,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,13,Control,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,14,Control,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,15,Control,9/17/2021,,Yes,Alive,Alive
C. spinosa,1,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,2,Iguana,9/17/2021,10/16/2021,Yes,Alive,Alive
C. spinosa,3,Iguana,9/17/2021,,Yes,Alive,Alive
C. spinosa,4,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,5,Iguana,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,6,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,7,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,8,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,9,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,10,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,11,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,12,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,13,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,14,Iguana,9/17/2021,,No,Dead,Dead
C. spinosa,15,Iguana,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,1,Tortoise,9/17/2021,10/14/2021,Yes,Alive,Alive
C. spinosa,2,Tortoise,9/17/2021,10/16/2021,Yes,Alive,Alive
C. spinosa,3,Tortoise,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,4,Tortoise,9/17/2021,,No,Dead,Dead
C. spinosa,5,Tortoise,9/17/2021,,No,Dead,Dead
C. spinosa,6,Tortoise,9/17/2021,10/8/2021,Yes,Alive,Alive
C. spinosa,7,Tortoise,9/17/2021,10/12/2021,Yes,Alive,Alive
C. spinosa,8,Tortoise,9/17/2021,,No,Dead,Dead
C. spinosa,9,Tortoise,9/17/2021,,No,Dead,Dead
C. spinosa,10,Tortoise,9/17/2021,10/18/2021,Yes,Alive,Alive
C. spinosa,11,Tortoise,9/17/2021,,No,Dead,Dead
C. spinosa,12,Tortoise,9/17/2021,10/8/2021,Yes,Alive,Alive
C. spinosa,13,Tortoise,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,14,Tortoise,9/17/2021,10/13/2021,Yes,Alive,Alive
C. spinosa,15,Tortoise,9/17/2021,10/20/2021,Yes,Alive,Alive
Chrysobalanus icaco,1,Control,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,2,Control,7/8/2021,10/27/2021,Yes,Alive,Alive
Chrysobalanus icaco,3,Control,7/8/2021,,Yes,Alive,Alive
Chrysobalanus icaco,4,Control,7/8/2021,12/20/2021,Yes,Alive,Alive
Chrysobalanus icaco,5,Control,7/8/2021,10/27/2021,Yes,Alive,Alive
Chrysobalanus icaco,6,Control,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,7,Control,7/8/2021,10/6/2021,Yes,Alive,Alive
Chrysobalanus icaco,8,Control,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,9,Control,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,10,Control,7/8/2021,,Yes,Alive,Alive
Chrysobalanus icaco,11,Control,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,12,Control,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,13,Control,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,14,Control,8/25/2021,12/20/2021,Yes,Alive,Alive
Chrysobalanus icaco,15,Control,8/25/2021,,Yes,Alive,Alive
Chrysobalanus icaco,1,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,2,Iguana,7/8/2021,10/1/2021,Yes,Alive,Alive
Chrysobalanus icaco,3,Iguana,7/8/2021,10/8/2021,Yes,Alive,Alive
Chrysobalanus icaco,4,Iguana,7/8/2021,11/3/2021,Yes,Alive,Alive
Chrysobalanus icaco,5,Iguana,7/8/2021,10/8/2021,Yes,Alive,Alive
Chrysobalanus icaco,6,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,7,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,1,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,2,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,3,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,4,Iguana,7/8/2021,,No,Dead,Dead
Chrysobalanus icaco,5,Iguana,7/8/2021,10/1/2021,Yes,Alive,Alive
