SpecName,diam,organism,Note
Acrocomia crispa,25.91,Fruit,
Acrocomia crispa,25.02,Fruit,
Acrocomia crispa,23.58,Fruit,
Acrocomia crispa,22.6,Fruit,
Acrocomia crispa,24.37,Fruit,
Acrocomia crispa,28.41,Fruit,
Acrocomia crispa,26.11,Fruit,
Acrocomia crispa,23.57,Fruit,
Acrocomia crispa,24.92,Fruit,
Acrocomia crispa,26.16,Fruit,
Acrocomia crispa,24.09,Fruit,
Acrocomia crispa,23.27,Fruit,
Acrocomia crispa,23.9,Fruit,
Acrocomia crispa,23.27,Fruit,
Acrocomia crispa,22.61,Fruit,
Acrocomia crispa,24.16,Fruit,
Acrocomia crispa,21.69,Fruit,
Acrocomia crispa,23.93,Fruit,
Acrocomia crispa,23.63,Fruit,
Catesbaea spinosa,25.06,Fruit,
Catesbaea spinosa,30.47,Fruit,
Catesbaea spinosa,33.53,Fruit,
Catesbaea spinosa,27.31,Fruit,
Catesbaea spinosa,32.1,Fruit,
Catesbaea spinosa,22.9,Fruit,
Catesbaea spinosa,27.78,Fruit,
Catesbaea spinosa,23.82,Fruit,
Catesbaea spinosa,29.03,Fruit,
Catesbaea spinosa,34.49,Fruit,
Catesbaea spinosa,30.06,Fruit,
Catesbaea spinosa,28.53,Fruit,
Catesbaea spinosa,37.47,Fruit,
Catesbaea spinosa,26.14,Fruit,
Catesbaea spinosa,34.32,Fruit,
Catesbaea spinosa,32.04,Fruit,
Catesbaea spinosa,33.87,Fruit,
Catesbaea spinosa,22.79,Fruit,
Catesbaea spinosa,30.83,Fruit,
Catesbaea spinosa,20.16,Fruit,
Catesbaea spinosa,20.3,Fruit,
Catesbaea spinosa,19.27,Fruit,
Catesbaea spinosa,25.35,Fruit,
Catesbaea spinosa,17.45,Fruit,
Catesbaea spinosa,23.55,Fruit,
Chrysobalanus icaco,26.02,Fruit,
Chrysobalanus icaco,24.25,Fruit,
Chrysobalanus icaco,25.48,Fruit,
Chrysobalanus icaco,24.12,Fruit,
Chrysobalanus icaco,24.51,Fruit,
Chrysobalanus icaco,25.81,Fruit,
Chrysobalanus icaco,23.34,Fruit,
Chrysobalanus icaco,25.41,Fruit,
Chrysobalanus icaco,22.78,Fruit,
Chrysobalanus icaco,25,Fruit,
Chrysobalanus icaco,25.38,Fruit,
Chrysobalanus icaco,22.83,Fruit,
Chrysobalanus icaco,23.53,Fruit,
Chrysobalanus icaco,24.62,Fruit,
Chrysobalanus icaco,21.65,Fruit,
Chrysobalanus icaco,24.41,Fruit,
Chrysobalanus icaco,23.11,Fruit,
Chrysobalanus icaco,26.02,Fruit,
Chrysobalanus icaco,24.25,Fruit,
